2023/05/14 18:43:14 epoch: 1, lr: 0.0010000, loss: 0.0709, p1: 50.61, p2: 40.00
2023/05/14 19:13:17 epoch: 2, lr: 0.0009500, loss: 0.0393, p1: 48.17, p2: 37.87
2023/05/14 19:43:21 epoch: 3, lr: 0.0009025, loss: 0.0338, p1: 47.30, p2: 37.17
2023/05/14 20:13:24 epoch: 4, lr: 0.0008574, loss: 0.0309, p1: 48.15, p2: 37.30
2023/05/14 20:43:27 epoch: 5, lr: 0.0008145, loss: 0.0291, p1: 46.61, p2: 36.46
2023/05/14 21:13:30 epoch: 6, lr: 0.0004073, loss: 0.0268, p1: 46.46, p2: 36.67
2023/05/14 21:43:32 epoch: 7, lr: 0.0003869, loss: 0.0262, p1: 46.34, p2: 36.60
2023/05/14 22:13:35 epoch: 8, lr: 0.0003675, loss: 0.0258, p1: 46.46, p2: 36.55
2023/05/14 22:43:37 epoch: 9, lr: 0.0003492, loss: 0.0253, p1: 47.43, p2: 36.87
2023/05/14 23:13:39 epoch: 10, lr: 0.0003317, loss: 0.0250, p1: 46.70, p2: 36.66
2023/05/14 23:43:42 epoch: 11, lr: 0.0001659, loss: 0.0243, p1: 46.29, p2: 36.37
2023/05/15 00:13:44 epoch: 12, lr: 0.0001576, loss: 0.0242, p1: 46.77, p2: 36.66
2023/05/15 00:43:46 epoch: 13, lr: 0.0001497, loss: 0.0240, p1: 47.57, p2: 36.72
2023/05/15 01:13:48 epoch: 14, lr: 0.0001422, loss: 0.0239, p1: 46.37, p2: 36.52
