2023/05/12 14:00:52 epoch: 1, lr: 0.0010000, loss: 0.0537, p1: 49.45, p2: 37.79
2023/05/12 14:32:18 epoch: 2, lr: 0.0009500, loss: 0.0326, p1: 46.78, p2: 36.23
2023/05/12 15:03:43 epoch: 3, lr: 0.0009025, loss: 0.0288, p1: 45.14, p2: 35.54
2023/05/12 15:35:08 epoch: 4, lr: 0.0008574, loss: 0.0270, p1: 45.36, p2: 36.05
2023/05/12 16:06:33 epoch: 5, lr: 0.0008145, loss: 0.0260, p1: 44.92, p2: 35.41
2023/05/12 16:37:58 epoch: 6, lr: 0.0004073, loss: 0.0245, p1: 45.34, p2: 35.59
2023/05/12 17:09:23 epoch: 7, lr: 0.0003869, loss: 0.0242, p1: 45.28, p2: 35.73
2023/05/12 17:40:47 epoch: 8, lr: 0.0003675, loss: 0.0239, p1: 45.65, p2: 35.80
2023/05/12 18:12:11 epoch: 9, lr: 0.0003492, loss: 0.0236, p1: 45.22, p2: 35.61
2023/05/12 18:43:41 epoch: 10, lr: 0.0003317, loss: 0.0234, p1: 45.75, p2: 35.79
2023/05/12 19:15:07 epoch: 11, lr: 0.0001659, loss: 0.0229, p1: 45.48, p2: 35.85
2023/05/12 19:46:31 epoch: 12, lr: 0.0001576, loss: 0.0229, p1: 45.60, p2: 35.90
2023/05/12 20:17:55 epoch: 13, lr: 0.0001497, loss: 0.0228, p1: 46.05, p2: 36.18
2023/05/12 20:49:19 epoch: 14, lr: 0.0001422, loss: 0.0226, p1: 44.87, p2: 35.67
