2023/05/12 02:09:35 epoch: 1, lr: 0.0010000, loss: 0.0537, p1: 49.45, p2: 37.79
2023/05/12 02:47:19 epoch: 2, lr: 0.0009500, loss: 0.0326, p1: 46.78, p2: 36.23
2023/05/12 03:20:39 epoch: 3, lr: 0.0009025, loss: 0.0288, p1: 45.14, p2: 35.54
2023/05/12 03:52:03 epoch: 4, lr: 0.0008574, loss: 0.0270, p1: 45.36, p2: 36.05
2023/05/12 04:23:26 epoch: 5, lr: 0.0008145, loss: 0.0260, p1: 44.92, p2: 35.41
2023/05/12 04:54:50 epoch: 6, lr: 0.0004073, loss: 0.0245, p1: 45.34, p2: 35.59
2023/05/12 05:26:14 epoch: 7, lr: 0.0003869, loss: 0.0242, p1: 45.28, p2: 35.73
2023/05/12 05:57:38 epoch: 8, lr: 0.0003675, loss: 0.0239, p1: 45.65, p2: 35.80
2023/05/12 06:29:02 epoch: 9, lr: 0.0003492, loss: 0.0236, p1: 45.22, p2: 35.61
2023/05/12 07:00:25 epoch: 10, lr: 0.0003317, loss: 0.0234, p1: 45.75, p2: 35.79
2023/05/12 07:31:49 epoch: 11, lr: 0.0001659, loss: 0.0229, p1: 45.48, p2: 35.85
2023/05/12 08:03:13 epoch: 12, lr: 0.0001576, loss: 0.0229, p1: 45.60, p2: 35.90
2023/05/12 08:34:36 epoch: 13, lr: 0.0001497, loss: 0.0228, p1: 46.05, p2: 36.18
2023/05/12 09:06:00 epoch: 14, lr: 0.0001422, loss: 0.0226, p1: 44.87, p2: 35.67
