2023/05/14 01:46:53 epoch: 1, lr: 0.0010000, loss: 0.0529, p1: 47.66, p2: 37.95
2023/05/14 02:16:58 epoch: 2, lr: 0.0009500, loss: 0.0325, p1: 46.86, p2: 36.46
2023/05/14 02:47:01 epoch: 3, lr: 0.0009025, loss: 0.0286, p1: 45.70, p2: 36.24
2023/05/14 03:17:09 epoch: 4, lr: 0.0008574, loss: 0.0268, p1: 45.00, p2: 35.90
2023/05/14 03:47:45 epoch: 5, lr: 0.0008145, loss: 0.0258, p1: 45.45, p2: 36.19
2023/05/14 04:18:12 epoch: 6, lr: 0.0004073, loss: 0.0242, p1: 45.32, p2: 35.72
2023/05/14 04:49:01 epoch: 7, lr: 0.0003869, loss: 0.0239, p1: 45.50, p2: 35.79
2023/05/14 05:19:51 epoch: 8, lr: 0.0003675, loss: 0.0236, p1: 45.64, p2: 36.04
2023/05/14 05:50:39 epoch: 9, lr: 0.0003492, loss: 0.0234, p1: 45.02, p2: 35.86
2023/05/14 06:21:29 epoch: 10, lr: 0.0003317, loss: 0.0232, p1: 45.05, p2: 35.97
2023/05/14 06:52:17 epoch: 11, lr: 0.0001659, loss: 0.0227, p1: 45.05, p2: 35.86
2023/05/14 07:23:07 epoch: 12, lr: 0.0001576, loss: 0.0226, p1: 45.34, p2: 35.95
2023/05/14 07:53:56 epoch: 13, lr: 0.0001497, loss: 0.0225, p1: 45.25, p2: 35.79
2023/05/14 08:24:45 epoch: 14, lr: 0.0001422, loss: 0.0224, p1: 44.96, p2: 35.81
